title;job;company;city;region;postal_code;date
Senior Data Engineer* / Machine Learning Engineer*;Data Engineer;inovex GmbH;Hamburg;Hamburg;Not provided;2025-05-22
Data Engineer - Digital Health Excellence Center (w/m/d);Data Engineer;EY Consulting GmbH;Hamburg;Hamburg;20148;2026-01-26
Trainee Data Engineer / Data Scientist (m/w/d);Data Scientist;ISR Information Products AG;Hamburg;Hamburg;20457;2026-01-06
(Junior) Data Engineer (m/f/d);Datenbankentwickler/in;Statista;Hamburg;Hamburg;22085;2026-04-15
Data Engineer (all genders);Datenbankentwickler/in;PRODYNA;Hamburg;Hamburg;22085;2026-04-15
Data Analytics Engineer (w/m/d);Business-Analyst/in;freenet;Hamburg;Hamburg;22085;2026-04-24
Data & AI Engineer (m/w/d) Energie & Computer Vision;Data Engineer;YER;Hamburg;Hamburg;20537;2026-06-08
Data Engineer;Data Engineer;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60322;2025-02-10
Principal Data Engineer (m/w/d);Data Engineer;Alexander Thamm GmbH;Frankfurt am Main;Hessen;60329;2026-06-11
Data Engineer (w/m/d);Datenbankentwickler/in;S&N Invent;Eschborn, Taunus;Hessen;65760;2026-04-15
Customer Data Engineer (w/m/d);Data Engineer;Maingau Energie GmbH;Obertshausen;Hessen;63179;2026-03-09
Azure Data Platform Engineer (m/w/d);Data Engineer;netgo group GmbH;Frankfurt am Main;Hessen;60311;2026-06-04
